,idd,pr1,f1,f2,f3,pw1,re,x1,x2,x1r,x2r,a1,time,TF
215,C2,0.0643,100,100,55,100,4.06,85,10,58.2,20.7,124.6,1088,255
302,C2,0.0644,100,100,55,100,3.396,75,15,59.9,20.4,125.6,875,255
487,C2,0.0641,100,100,55,100,5.204,55,25,66.8,20.2,123.4,1092,255
579,C2,0.0646,100,100,55,100,7.22,45,30,48.6,21.1,129.2,1205,255
671,C2,0.0647,100,100,55,100,2.724,35,35,71.8,19.8,123.2,1200,255
759,C2,0.0638,100,100,55,100,2.776,25,40,54.9,21.3,123.6,884,255
851,C2,0.0645,100,100,55,100,4.624,35,35,53.7,20.8,126.6,988,255
945,C2,0.0647,100,100,55,100,6.392,45,30,56.5,20.9,123.6,1200,255
1035,C2,0.0648,100.3,100.3,55,100,4.028,55,25,66.9,20.2,125.2,1090,255.6
1218,C2,0.0646,100,100,55,100,2.828,75,15,74.4,19.6,131.39,981,255
1310,C2,0.0646,100,100,55,100,4.272,85,10,50.3,21.3,131.39,1204,255
1403,C2,0.0571,100,90,55,200,6.78,85,10,54.9,21.2,127,1309,245
1490,C2,0.0555,100,90,55,200,8.316,75,15,58,21.1,123.2,765,245
1674,C2,0.0553,100,90,55,200,4.272,55,25,54.3,21.2,123.8,985,245
1768,C2,0.0556,100,90,55,200,6.728,45,30,57.8,21.1,123.2,1196,245
1857,C2,0.0557,100,90,55,200,4.116,35,35,57.7,21,126.2,877,245
1950,C2,0.0557,100,90,55,200,4.716,25,40,65.6,20.6,124.8,1095,245
2040,C2,0.0553,100,90,55,200,8.484,35,35,57.3,21.1,123.4,980,245
2133,C2,0.0556,100,90,55,200,11.084,45,30,68.8,20.4,123.2,1094,245
2223,C2,0.0557,100,90,55,200,5.728,55,25,46.3,22.3,123.4,876,245
2306,C2,0.0548,100,90,55,200,23.116,65,20,66.5,20.3,0,110,245
2404,C2,0.0554,100,90,55,200,8.428,75,15,53.5,21.3,127,786,245
2500,C2,0.0554,100,70,55,200,11.976,85,10,65,21.1,127.8,1215,225
2592,C2,0.0428,100,70,55,300,13.504,85,10,69.3,21.4,123.2,1313,225
2680,C2,0.0422,100,70,55,300,11.316,75,15,54.3,22.1,254,988,225
2765,C2,0.0423,100,70,55,300,50.092,65,20,65.7,21.3,127.8,233,225
2860,C2,0.0424,100,70,55,300,7.376,55,25,48.4,22.5,202.4,536,225
2953,C2,0.0424,100.1,70.1,55,300,69.264,45,30,42.3,24.3,124.8,762,225.2
3046,C2,0.0424,100,70,55,300,17.252,35,35,53.1,23.1,207.8,878,225
3137,C2,0.0425,100,70,55,300,12.736,25,40,55.5,22.8,223.8,984,225
3228,C2,0.0425,100,70,55,300,7.532,35,35,60.2,21.8,128,880,225
3318,C2,0.0421,100,70,55,300,68.464,45,30,37.7,24.8,123.4,768,225
3408,C2,0.0423,100,70,55,300,9.088,55,25,49,22.7,251,546,225
3496,C2,0.0423,100,70,55,300,79.86,65,20,64.9,20,126,219,225
3596,C2,0.0425,100,70,55,300,20.052,75,15,63,22,305.2,1091,225
3690,C2,0.0419,100,70,55,300,9.86,85,10,59,21.9,353.4,1419,225
3781,C2,0.0382,100,60,55,400,26.836,85,10,56.9,22.8,239.2,1313,215
3870,C2,0.0375,100,60,55,400,19.64,75,15,69,22.1,430.6,1092,215
3955,C2,0.0374,100,60,55,400,11.804,65,20,61.1,21.6,503.4,436,215
4048,C2,0.0367,100,60,55,400,18.592,55,25,70.5,21.9,492.2,658,215
4142,C2,0.0374,100,60,55,400,9.088,45,30,67.7,22,395,872,215
4235,C2,0.0376,100,60,55,400,10.032,35,35,74.5,21.6,514,1095,215
4324,C2,0.0375,100,60,55,400,72.352,25,40,43,24.5,416.8,775,215
4418,C2,0.0369,100,60,55,400,10.488,35,35,73.8,21.8,522.2,1092,215
4507,C2,0.0374,100,60,55,400,76.648,45,30,50.9,24,377.2,781,215
4597,C2,0.0374,100,60,55,400,18.592,55,25,58.1,22.6,517.2,543,215
4688,C2,0.0374,100,60,55,400,26.736,65,20,66.1,22,485.6,542,215
4785,C2,0.0368,100,60,55,400,15.2,75,15,57.1,22.8,525.4,1205,215
4877,C2,0.0374,100,60,55,400,15.412,85,10,63.4,22.2,307.79,1313,215
4970,C2,0.0334,100,50,55,100,5.168,85,10,60,22.2,131.39,1307,205
5058,C2,0.0329,100,50,55,100,6.68,75,15,70.3,21.6,128,1096,205
5143,C2,0.0328,100.1,50,55,100,3.104,65,20,63.8,20.4,124.8,329,205.1
5237,C2,0.0328,100,50,55,100,3.396,55,25,60.9,22.2,130.8,657,205
5332,C2,0.0329,100,50,55,100,3.764,45,30,58,22.8,124.6,984,205
5425,C2,0.0329,100,50,55,100,4.988,35,35,68.2,21.8,126,1097,205
5514,C2,0.0329,100,50,55,100,4.392,25,40,73.2,21.7,123.2,986,205
5607,C2,0.0328,100,50,55,100,2.828,35,35,73.2,21.7,128.39,1092,205
5697,C2,0.0329,100,50,55,100,4.304,45,30,50.2,23.9,129.8,879,205
5786,C2,0.0329,100,50,55,100,5.364,55,25,59.1,22.3,127.4,654,205
5875,C2,0.0329,100,50,55,100,3.62,65,20,61.9,21.1,129.6,333,205
5972,C2,0.0324,100,50,55,100,7.952,75,15,66.7,22.2,128,1091,205
6067,C2,0.0329,100,50,55,100,2.952,85,10,57.3,22.8,126.6,1424,205
6159,C2,0.0292,100,40,55,200,12.984,85,10,60.3,22.8,380,1421,195
6248,C2,0.0288,100,40,55,200,12.284,75,15,60.2,22.8,388,1092,195
6333,C2,0.0288,100,40,55,200,5.284,65,20,65.4,22.6,156.8,545,195
6426,C2,0.0287,100,40,55,200,7.176,55,25,67.4,22.5,390.2,655,195
6520,C2,0.0288,100,40,55,200,14.092,45,30,65.9,22.5,391.6,987,195
6612,C2,0.0288,100,40,55,200,9.416,35,35,55.5,24.1,268.4,988,195
6702,C2,0.0288,100,40,55,200,6.78,25,40,73.6,22.3,287.6,869,195
6795,C2,0.0283,100,40,55,200,5.1,35,35,77.1,22.1,403,1096,195
6886,C2,0.0288,100,40,55,200,12.352,45,30,57,23.5,388.4,984,195
6975,C2,0.0288,100,40,55,200,10.728,55,25,63.8,22.5,398.4,650,195
7066,C2,0.0288,100,40,55,200,7.024,65,20,66.7,22.5,402.6,542,195
7161,C2,0.0288,100,40,55,200,10.956,75,15,64.8,22.7,377.8,1096,195
7255,C2,0.0287,100,40,55,200,20.052,85,10,57.5,23,385.6,1444,195
7348,C2,0.0254,100,30,55,300,35.088,85,10,51.5,24.2,530,1531,185
7435,C2,0.0251,100,30,55,300,10.092,75,15,43.6,25.8,455.6,1098,185
7524,C2,0.0251,100,30,55,300,0,65,20,67.9,22.7,562.8,767,185
7614,C2,0.0251,100,30,55,300,0,55,25,62.5,23.2,563.4,655,185
7708,C2,0.0249,100,30,55,300,20.224,45,30,51.7,24.7,517.8,889,185
7801,C2,0.0252,100,30,55,300,6.972,35,35,65.5,23,566.2,1097,185
7891,C2,0.0251,100,30,55,300,10.956,25,40,59.5,24,531.8,989,185
7984,C2,0.0252,100,30,55,300,8.856,35,35,62.5,23.1,559.2,1092,185
8074,C2,0.0251,100,30,55,300,19.724,45,30,68.9,22.9,479.4,867,185
8161,C2,0.0248,100,30,55,300,20.052,55,25,63.8,23.1,504.4,435,185
8255,C2,0.0251,100,30,55,300,6.036,65,20,68.3,22.8,544.4,656,185
8351,C2,0.0251,100,30,55,300,11.672,75,15,57.3,23.8,556.4,1199,185
8444,C2,0.0252,100,30,55,300,32.86,85,10,51.1,24.3,533.4,1432,185
8537,C2,0.0221,100,20,55,400,11.316,85,10,55.4,24.7,657.6,1640,175
8625,C2,0.0215,100,20,55,400,29.732,75,15,72.6,23.2,590,1290,175
8713,C2,0.0218,100,20,55,400,8.484,65,20,79,22.7,733.6,766,175
8804,C2,0.0219,100,20,55,400,50.204,55,25,54.1,24.2,552.4,763,175
8897,C2,0.0219,100,20,55,400,25.808,45,30,76.8,22.9,638.2,873,175
8990,C2,0.0219,100,20,55,400,11.02,35,35,76.7,22.8,722.6,1097,175
9080,C2,0.0219,100.2,20.1,55,400,10.904,25,40,58.4,24.5,649.4,869,175.3
9172,C2,0.0219,100,20,55,400,9.032,35,35,60.1,23.7,721,1099,175
9262,C2,0.0219,100,20,55,400,17.252,45,30,73.9,23.1,626,886,175
9349,C2,0.0218,100,20,55,400,18.276,55,25,69.6,23.2,651.4,430,175
9444,C2,0.0219,100,20,55,400,10.728,65,20,63.5,23.8,743.6,757,175
9540,C2,0.0219,100,20,55,400,28.356,75,15,76.2,22.8,645,1314,175
9634,C2,0.0215,100,20,55,400,9.088,85,10,69.5,23.2,643.59,1615,175
9733,C2,0.0192,100,10,55,100,0,85,10,68,23,359.2,2406,165
9823,C2,0.0191,100,10,55,100,0,75,15,78.5,22.4,353.2,2305,165
9907,C2,0.0191,100,10,55,100,2.432,65,20,69.5,22.9,273.4,1402,165
9992,C2,0.0191,100,10,55,100,3.484,55,25,78.1,22.6,328.6,758,165
10085,C2,0.0191,100,10,55,100,2.952,45,30,55,24.5,297.2,873,165
10177,C2,0.0188,100,10,55,100,4.06,35,35,61.8,23.8,357,872,165
10268,C2,0.0191,100,10,55,100,6.036,25,40,57.2,24.4,317,982,165
10358,C2,0.0191,100,10,55,100,4.716,35,35,60.7,24.2,300.6,880,165
10451,C2,0.0191,100,10,55,100,3.428,45,30,76.8,22.6,244.8,977,165
10537,C2,0.0191,100,10,55,100,6.728,55,25,54.5,24.5,299,320,165
10637,C2,0.0191,100,10,55,100,4.336,65,20,65.3,23.2,175.4,1304,165
10738,C2,0.0189,100,9.9,55,100,0,75,15,74.7,22.9,366.2,2300,164.9
10829,C2,0.0191,100,10,55,100,2.204,85,10,65.2,23.2,358.8,2180,165
10926,C2,0.0176,90,10,55,200,13.964,85,10,75.7,23.3,598.4,2952,155
11015,C2,0.0176,90,10,55,200,5.86,75,15,73.4,23.4,596.2,2617,155
11101,C2,0.0176,90,10,55,200,6.352,65,20,71.1,23.4,624.59,1967,155
11184,C2,0.0175,90,10,55,200,4.208,55,25,58.9,24.4,606.4,977,155
11273,C2,0.0176,90,10,55,200,5.564,45,30,77.6,23.2,537.8,877,155
11365,C2,0.0172,90,10,55,200,7.532,35,35,66,23.8,630.2,869,155
11458,C2,0.0176,90,10,55,200,9.692,25,40,61.4,23.8,621.4,1091,155
11550,C2,0.0176,90,10,55,200,4.176,35,35,82.9,22.6,625.4,1091,155
11639,C2,0.0176,90,10,55,200,5.48,45,30,66.3,23.4,627.59,866,155
11733,C2,0.0176,90,10,55,200,8.16,55,25,82.8,22.7,573.4,1095,155
11831,C2,0.0176,90,10,55,200,5.564,65,20,67.7,23.4,592.8,1852,155
11930,C2,0.0176,90,10,55,200,5.32,75,15,59.9,24.3,622,2619,155
12022,C2,0.0175,90,10,55,200,5.364,85,10,76.2,23,597.2,2730,155
20435,C2,0.0183,40,10,85,200,4.06,85,10,87,26.8,1025.6,2720,135
20524,C2,0.0183,40,10,85,200,24.452,75,15,77.2,27.3,1013.8,2518,135
20613,C2,0.0183,40,10,85,200,24.356,65,20,95.3,26.3,991.8,2182,135
20695,C2,0.0183,40,10,85,200,6.208,55,25,93.9,26.5,931,1094,135
20783,C2,0.0183,40,10,85,200,29.816,45,30,73.5,27.4,1000.6,651,135
20876,C2,0.0183,40,10,85,200,16.132,35,35,78.8,27,1014.4,983,135
20970,C2,0.0181,40,10,85,200,20.224,25,40,84.7,27.1,753.6,1198,135
21061,C2,0.0183,40,10,85,200,8.484,35,35,99.1,26.2,1049.8,1198,135
21150,C2,0.0183,40,10,85,200,6.628,45,30,89.9,26.5,1048.8,872,135
21244,C2,0.0183,40,10,85,200,8.16,55,25,93.3,26.2,978,1084,135
21345,C2,0.0183,40,10,85,200,5.988,65,20,86.3,27,1018.2,2181,135
21439,C2,0.0183,40,10,85,200,28.544,75,15,93.8,26.5,985.2,2508,135
21533,C2,0.0183,40,10,85,200,4.884,85,10,96.6,26.3,1004.4,2713,135
21624,C2,0.0183,40,10,85,300,38.624,85,10,72.1,27.9,1127.4,2731,135
21713,C2,0.0183,40,10,85,300,41.384,75,15,74.3,27.5,1135,2391,135
21803,C2,0.0183,40,10,85,300,7.176,65,20,96.9,26.2,1128.6,2289,135
21885,C2,0.0183,40,10,85,300,13.632,55,25,93,26.3,1287.4,1177,135
21971,C2,0.0183,40,10,85,300,41.508,45,30,77.3,27.3,1116.4,656,135
22067,C2,0.0181,40,10,85,300,9.812,35,35,93.1,26.3,1301,1081,135
22160,C2,0.0183,40,10,85,300,19.4,25,40,81.1,27.2,1182.8,1316,135
22249,C2,0.0183,40,10,85,300,7.844,35,35,97.3,26.2,1121.4,1104,135
22337,C2,0.0183,40,10,85,300,48.388,45,30,65.9,28.6,1095.4,656,135
22432,C2,0.0183,40,10,85,300,7.896,55,25,75.8,27.1,1139.4,1095,135
22534,C2,0.0183,40,10,85,300,32.748,65,20,77,27.2,1128.8,2183,135
22628,C2,0.0183,40,10,85,300,32.748,75,15,94.5,26.4,1111.19,2506,135
22721,C2,0.0183,40,10,85,300,27.016,85,10,98.3,26.3,1132.19,2619,135
22833,C2,0.0213,40,10,95,400,14.636,75,15,59.2,24.8,805.2,5037,145
22902,C2,0.0212,40,10,95,400,26.556,75,15,77.6,27.4,1500.8,2409,145
22992,C2,0.0211,40,10,95,400,10.204,65,20,88.7,26.9,1517.4,2190,145
23072,C2,0.0211,40,10,95,400,31.72,55,25,78.4,27.1,1469.8,1090,145
23160,C2,0.021,40,10,95,400,10.728,45,30,81.4,27.2,1430.8,772,145
23256,C2,0.0211,40,10,95,400,8.272,35,35,96,26.1,1288.6,1098,145
23348,C2,0.0211,40,10,95,400,22.252,25,40,75.4,27.2,1463.6,1305,145
23437,C2,0.0211,40,10,95,400,37.484,35,35,83.6,26.9,1488.8,990,145
23526,C2,0.0211,40,10,95,400,9.252,45,30,80.5,27.2,1412.2,776,145
23620,C2,0.0211,40,10,95,400,14.036,55,25,93.7,26.3,1315,983,145
23723,C2,0.0211,40,10,95,400,12.544,65,20,93,26.4,1531,2289,145
23817,C2,0.0211,40,10,95,400,8.484,75,15,98.7,26,1455.4,2409,145
23909,C2,0.0211,40,10,95,400,24.452,85,10,85.9,26.7,1516.4,2620,145
24002,C2,0.0211,40,10,95,100,2.112,85,10,79.8,27.2,627.4,2737,145
24089,C2,0.0211,40,10,95,100,5.564,75,15,98.4,26.3,622.59,2290,145
24180,C2,0.0211,40.1,10.1,95,100,2.652,65,20,78.9,27.1,637.2,2184,145.2
24261,C2,0.0211,40,10,95,100,2.368,55,25,94.2,26.4,665.4,1084,145
24348,C2,0.0211,40,10,95,100,16.508,45,30,68.8,28.1,618.59,637,145
24444,C2,0.0211,40,10,95,100,2.604,35,35,79.1,27,631.2,1087,145
24537,C2,0.0211,40,10,95,100,2.724,25,40,99.6,26.1,619.4,1306,145
24627,C2,0.0211,40,10,95,100,5.064,35,35,99.5,26.1,640.2,1094,145
24715,C2,0.0211,40,10,95,100,2.628,45,30,78.8,27.3,622,767,145
24811,C2,0.0211,40,10,95,100,3.236,55,25,76.8,27.3,638.2,1312,145
24910,C2,0.0211,40,10,95,100,11.976,65,20,71.7,27.8,621,2075,145
25004,C2,0.0211,40,10,95,100,12.42,75,15,77.3,27.2,632.8,2404,145
25099,C2,0.0211,40,10,95,100,10.488,85,10,94.7,26.5,621.8,2742,145
25178,C2,0.0335,50,50,95,200,12.984,85,10,60.5,23.2,124.8,1315,195
25266,C2,0.0349,50,50,95,200,7.272,75,15,47.6,24.7,273.79,990,195
25353,C2,0.0354,50,50,95,200,5.32,65,20,60.5,23,372.4,543,195
25445,C2,0.0354,50,50,95,200,7.428,55,25,58.8,23,389.8,546,195
25540,C2,0.0354,50,50,95,200,10.316,45,30,72.3,22.4,200.6,876,195
25631,C2,0.0354,50,50,95,200,6.124,35,35,61.5,22.7,250.2,874,195
25721,C2,0.0354,50,50,95,200,32.244,25,40,59.6,23.5,204.6,772,195
25815,C2,0.035,50,50,95,200,4.028,35,35,66.3,22.5,399.2,1090,195
25906,C2,0.0354,50,50,95,200,13.236,45,30,65.4,22.5,380.6,995,195
25994,C2,0.0354,50,50,95,200,5.1,55,25,60.2,22.9,386.6,639,195
26085,C2,0.0354,50,50,95,200,6.392,65,20,62.4,22.9,382.4,663,195
26181,C2,0.0354,50,50,95,200,10.264,75,15,65.9,22.7,163.6,1102,195
26275,C2,0.0354,50,50,95,200,19.568,85,10,54,23.4,358.4,1431,195
26368,C2,0.035,50,50,95,300,25.532,85,10,58.3,23.6,491.8,1521,195
26456,C2,0.0354,50,50,95,300,21.656,75,15,71.5,22.5,439.6,1204,195
26541,C2,0.0354,50,50,95,300,17.8,65,20,57.8,21.6,501.4,431,195
26633,C2,0.0354,50,50,95,300,6.256,55,25,63.4,22.7,515.8,532,195
26728,C2,0.0355,50,50,95,300,16.568,45,30,56.3,23.7,507.4,991,195
26819,C2,0.0354,50,50,95,300,15.124,35,35,60.8,23,405.4,874,195
26911,C2,0.0355,50.1,50.1,95,300,14.992,25,40,57.1,24,491.6,983,195.2
27004,C2,0.0355,50,50,95,300,6.58,35,35,63.3,22.9,521,1098,195
27095,C2,0.0355,50,50,95,300,0,45,30,67.8,22.7,502.6,972,195
27183,C2,0.0355,50,50,95,300,6.78,55,25,61.8,22.9,517.8,650,195
27273,C2,0.0354,50,50,95,300,20.224,65,20,59.6,23,493.2,426,195
27370,C2,0.0354,50,50,95,300,21.316,75,15,62.6,22.9,504,1100,195
27464,C2,0.0355,50.2,50.2,95,300,25.356,85,10,58.8,23.5,505.2,1414,195.4
27558,C2,0.0355,50,50,95,400,8.696,85,10,76.9,22.2,581.4,1630,195
27646,C2,0.0355,50,50,95,400,0,75,15,74.6,22.2,588.4,1301,195
27730,C2,0.0354,50,50,95,400,21.564,65,20,58.4,21.8,570.2,428,195
27821,C2,0.0354,50,50,95,400,28.256,55,25,58.9,23.3,495.8,441,195
27916,C2,0.0355,50,50,95,400,22.932,45,30,60.6,23.2,592.59,871,195
28009,C2,0.0356,50,50,95,400,10.664,35,35,66.8,22.8,605.4,1101,195
28098,C2,0.0354,50,50,95,400,83.628,25,40,55.5,24.2,496.4,759,195
28192,C2,0.0356,50,50,95,400,11.736,35,35,66.7,22.8,598.4,1096,195
28282,C2,0.0356,50,50,95,400,22.324,45,30,71.5,22.7,514,876,195
28372,C2,0.0355,50,50,95,400,0,55,25,74.9,22.2,595.2,758,195
28461,C2,0.0354,50,50,95,400,21.224,65,20,58,22.2,583.4,441,195
28559,C2,0.0355,50,50,95,400,14.428,75,15,59.1,23.2,588,1192,195
28654,C2,0.0355,50,50,95,400,35.088,85,10,67.4,22.8,552.8,1525,195
28963,C3,0.0606,100,100,55,100,4.92,85,10,63.9,20.7,127.8,1098,255
29052,C3,0.0614,100,100,55,100,2.976,75,15,54.9,20.9,126,876,255
29236,C3,0.0618,100,100,55,100,3.936,55,25,44.3,22.3,129.8,987,255
29329,C3,0.0621,100,100,55,100,5.248,45,30,53.4,21.1,126,1092,255
29418,C3,0.0622,100,100,55,100,6.076,35,35,56.9,20.7,128.2,761,255
29511,C3,0.062,100,100,55,100,2.044,25,40,67.9,20.3,131,1092,255
29603,C3,0.0623,100,100,55,100,2.248,35,35,57.4,20.8,124.6,1094,255
29696,C3,0.0625,100,100,55,100,0,45,30,59,20.9,129.2,1205,255
29784,C3,0.0618,100,100,55,100,3.536,55,25,45.7,22.2,129.8,989,255
29965,C3,0.0624,100,100,55,100,10.664,75,15,56.5,18.8,123.2,653,255
30060,C3,0.0615,100,100,55,100,4.588,85,10,50.6,21.4,130.2,1101,255
30153,C3,0.0589,100,95,55,200,6.58,85,10,54.4,21.2,123.2,1202,250
30240,C3,0.0579,100,95,55,200,7.428,75,15,50.2,21.9,123.2,876,250
30325,C3,0.0579,100,95,55,200,16.868,65,20,65,20,123.2,107,250
30425,C3,0.0579,100,95,55,200,14.092,55,25,65.7,20.8,123.6,982,250
30518,C3,0.0583,100,95,55,200,8.812,45,30,56.2,21.3,124.8,1095,250
30608,C3,0.0581,100,95,55,200,7.736,35,35,54.4,22,123.8,982,250
30699,C3,0.0577,100,95,55,200,6.492,25,40,71.9,20.4,123.2,983,250
30790,C3,0.0582,100,95,55,200,7.844,35,35,54.9,21.4,127.8,874,250
30883,C3,0.0582,100,95,55,200,9.088,45,30,49.4,22.8,123.8,1093,250
30973,C3,0.0573,100,95,55,200,10.092,55,25,46.4,22.3,123.4,876,250
31156,C3,0.0582,100,95,55,200,5.248,75,15,52.6,21.6,124.4,981,250
31251,C3,0.0581,100,95,55,200,13.236,85,10,65,21.1,121.6,1315,250
31341,C3,0.0547,100,90,55,300,24.452,85,10,53.4,22,153.6,1204,245
31430,C3,0.054,100,90,55,300,15.2,75,15,55.8,21.6,149.39,876,245
31514,C3,0.0538,100,90,55,300,85.012,65,20,65,20,128,112,245
31611,C3,0.0532,100,90,55,300,13.236,55,25,61.4,21.4,123.2,659,245
31705,C3,0.054,100,90,55,300,10.156,45,30,70,21,123.2,980,245
31796,C3,0.054,100,90,55,300,14.576,35,35,55.1,22.3,157.8,875,245
31888,C3,0.0534,100,90,55,300,8.048,25,40,65.2,21.2,128.8,875,245
31979,C3,0.0541,100,90,55,300,8.856,35,35,59.3,21.4,217,989,245
32070,C3,0.0541,100,90,55,300,6.256,45,30,62.6,21.2,123.2,876,245
32159,C3,0.054,100,90,55,300,13.892,55,25,47.3,22.4,128.2,652,245
32246,C3,0.0536,100,90,55,300,9.812,65,20,65,20.1,162.39,225,245
32346,C3,0.0543,100,90,55,300,0,75,15,68.1,20.9,235.8,1093,245
32439,C3,0.0541,100,90,55,300,22.324,85,10,68.1,21.1,123.2,1312,245
32532,C3,0.0502,100,85,55,400,17.72,85,10,68.7,21.4,444,1418,240
32619,C3,0.0499,100,85,55,400,14.296,75,15,51.6,22.6,406,872,240
32704,C3,0.0499,100,85,55,400,53.708,65,20,65,20.3,411,221,240
32798,C3,0.0499,100.2,85.2,55,400,10.78,55,25,60.9,21.6,387.8,545,240.4
32893,C3,0.0499,100,85,55,400,17.64,45,30,66.2,21.4,174.2,980,240
32985,C3,0.0504,100,85,55,400,13.892,35,35,55.4,22.6,405.4,986,240
33076,C3,0.0501,100,85,55,400,9.136,25,40,59.2,21.7,287.2,876,240
33168,C3,0.0497,100,85,55,400,12.284,35,35,55.7,22.7,399.8,870,240
33257,C3,0.0501,100,85,55,400,91.352,45,30,55.2,22.4,162.39,769,240
33347,C3,0.05,100,85,55,400,12.736,55,25,60.1,21.7,393.8,552,240
33435,C3,0.05,100.3,85.1,55,400,59.964,65,20,65,20,228.6,216,240.4
33533,C3,0.0499,100,85,55,400,26.004,75,15,49.2,22.9,390.8,875,240
33628,C3,0.0504,100,85,55,400,10.092,85,10,64.3,21.6,414.2,1314,240
33720,C3,0.0478,100,80,55,100,0,85,10,70.7,20.7,129,1422,235
33808,C3,0.0467,100,80,55,100,6.352,75,15,53.6,21.9,131.39,986,235
33892,C3,0.0472,100,80,55,100,4.028,65,20,65.3,20.3,0,217,235
33988,C3,0.0472,100,80,55,100,5.1,55,25,50.7,22.1,129.6,657,235
34084,C3,0.0473,100.1,80,55,100,0,45,30,73,20.7,127.8,1089,235.1
34176,C3,0.0473,100,80,55,100,2.044,35,35,64,21.1,131.39,1203,235
34265,C3,0.0473,100,80,55,100,3.208,25,40,68.4,21,123.4,986,235
34358,C3,0.0474,100,80,55,100,2.432,35,35,67.8,21,124.8,1096,235
34449,C3,0.0467,100,80,55,100,0,45,30,73,20.7,130.2,1094,235
34539,C3,0.0473,100,80,55,100,0,55,25,71.8,20.7,128.2,875,235
