,idd,pr1,f1,f2,f3,pw1,re,x1,x2,x1r,x2r,a1,time,TF
74051,C4,0.0552,100,90,55,600,24.184,25,40,47.8,23.4,447.4,858,245
74143,C4,0.0553,100,90,55,600,34.452,35,35,51.4,22.4,526,983,245
74234,C4,0.0554,100,90,55,600,25.632,45,30,66.8,21.4,437,987,245
74323,C4,0.0545,100,90,55,600,18.992,55,25,48.3,22.6,522.2,655,245
74411,C4,0.0551,100,90,55,600,69.264,65,20,65,20,407.8,220,245
74508,C4,0.0553,100,90,55,600,26.004,75,15,55.4,22.2,543.8,985,245
74602,C4,0.0551,100,90,55,600,14.5,85,10,46.1,23.7,487.6,1198,245
74694,C4,0.0519,100,85,55,800,29.92,85,10,56.3,22.3,687.8,1310,240
74783,C4,0.0514,100,85,55,800,23.376,75,15,55.4,22.4,699.6,982,240
74870,C4,0.051,100,85,55,800,0,65,20,65.2,21.1,716.4,433,240
74962,C4,0.0501,100,85,55,800,20.976,55,25,51.9,22.6,682.8,555,240
75058,C4,0.0514,100,85,55,800,27.3,45,30,69.8,21.6,739.6,1104,240
75149,C4,0.0515,100,85,55,800,20.052,35,35,54.1,22.5,678.6,985,240
75242,C4,0.0515,100,85,55,800,18.676,25,40,73,21.2,699.4,1091,240
75331,C4,0.0509,100,85,55,800,45.116,35,35,55,22.3,692,988,240
75424,C4,0.0515,100,85,55,800,26.836,45,30,71.2,21.2,619.8,1096,240
75513,C4,0.0512,100,85,55,800,0,55,25,56.9,22.1,704.8,750,240
75600,C4,0.0503,100,85,55,800,197.324,65,20,64.7,20.7,0,220,240
75697,C4,0.0514,100,85,55,800,45.244,75,15,67.8,21.7,595.4,978,240
75793,C4,0.0514,100,85,55,800,0,85,10,55.8,22.4,702.4,1422,240
75882,C4,0.0485,100,80,55,200,13.056,85,10,51,22.8,123.8,1199,235
75972,C4,0.0477,100,80,55,200,13.964,75,15,68.8,21,123.2,985,235
76057,C4,0.0479,100,80,55,200,31.328,65,20,64.8,20,131.39,218,235
76151,C4,0.0479,100,80,55,200,5.528,55,25,56.6,21.8,123.2,658,235
76246,C4,0.048,100.3,80.2,55,200,6.628,45,30,60.3,21.5,124.4,985,235.5
76338,C4,0.048,100,80,55,200,4.848,35,35,73.9,20.8,123.4,1091,235
76429,C4,0.0481,100,80,55,200,9.088,25,40,63,21.5,123.2,985,235
76520,C4,0.0481,100,80,55,200,4.68,35,35,58.2,21.8,125.2,983,235
76610,C4,0.0473,100,80,55,200,40.224,45,30,44.2,24,124.8,770,235
76700,C4,0.0479,100,80,55,200,9.088,55,25,58,21.7,123.6,658,235
76787,C4,0.0479,100,80,55,200,28.356,65,20,65,20,127.2,220,235
76888,C4,0.048,100,80,55,200,0,75,15,63.6,21.6,123.4,1203,235
76980,C4,0.0478,100,80,55,200,10.616,85,10,66.3,21.5,128,1316,235
77072,C4,0.0458,100,75,55,400,14.368,85,10,71.5,21.6,322.6,1308,230
77161,C4,0.0453,100,75,55,400,11.672,75,15,67,21.9,399.2,961,230
77245,C4,0.0451,100,75,55,400,127.14,65,20,63.2,20.5,438.6,328,230
77340,C4,0.0451,100,75,55,400,12.352,55,25,60.7,22,465.8,656,230
77432,C4,0.0452,100,75,55,400,84.124,45,30,38.5,24.9,304.4,764,230
77525,C4,0.0452,100,75,55,400,12.352,35,35,57.7,22.3,473.2,870,230
77615,C4,0.0451,100,75.1,55,400,76.82,25,40,43.4,24.1,380.6,767,230.1
77708,C4,0.0452,100,75,55,400,11.2,35,35,58,22.3,476.8,880,230
77798,C4,0.0452,100,75,55,400,80.864,45,30,52,23.3,282,764,230
77890,C4,0.0453,100,75,55,400,0,55,25,73.5,21.2,465,874,230
77977,C4,0.0446,100,75,55,400,132.772,65,20,65.3,21.8,272.79,325,230
78074,C4,0.0452,100,75,55,400,12.352,75,15,46.6,23.8,400,979,230
78170,C4,0.0453,100,75,55,400,25.356,85,10,58.8,22.1,476.4,1421,230
78261,C4,0.0431,100,70,55,600,21.224,85,10,70.7,22,490,1424,225
78349,C4,0.0422,100,70,55,600,16.728,75,15,47.7,24,555.2,984,225
78433,C4,0.0425,100,70,55,600,194.676,65,20,64.9,20,295.4,221,225
78528,C4,0.0425,100,70,55,600,24.092,55,25,57.7,22.5,610.59,658,225
78623,C4,0.0427,100,70,55,600,24.528,45,30,73.6,21.5,573.59,990,225
78715,C4,0.0424,100,70,55,600,18.424,35,35,57,22.6,605.59,980,225
78803,C4,0.0426,100,70,55,600,126.532,25,40,37.4,24.7,527.8,764,225
78898,C4,0.0428,100,70,55,600,15.472,35,35,59.3,22.4,612.4,1091,225
78987,C4,0.0426,100,70,55,600,112.076,45,30,36.8,25.3,501.2,760,225
79076,C4,0.0423,100,70,55,600,21.908,55,25,56.6,22.6,614.4,549,225
79167,C4,0.0425,100,70,55,600,0,65,20,67.2,21.9,612.2,552,225
79264,C4,0.0426,100,70,55,600,36.38,75,15,64.8,22.2,599.2,1096,225
79359,C4,0.0427,100.2,70.2,55,600,13.76,85,10,59.3,22.4,609,1422,225.4
79449,C4,0.0404,100,65,55,800,30.024,85,10,70.6,21.9,758.2,1417,220
79536,C4,0.04,100,65,55,800,140.944,75,15,50.8,23.9,561.8,876,220
79625,C4,0.04,100,65,55,800,21.98,65,20,66.5,22.2,795,545,220
79716,C4,0.04,100,65.1,55,800,36.056,55,25,68,22.1,751.8,548,220.1
79809,C4,0.0399,100,65,55,800,195.756,45,30,42.4,24.8,590.59,767,220
79904,C4,0.0402,100,65,55,800,18.76,35,35,71.8,21.8,789.2,1090,220
79993,C4,0.0401,100,65,55,800,17.884,25,40,64.6,22.3,591,877,220
80086,C4,0.0401,100.2,65.2,55,800,45.608,35,35,53,24,622.2,875,220.4
80177,C4,0.0401,100,65,55,800,42.46,45,30,51.5,23.7,743,992,220
80266,C4,0.04,100,65,55,800,36.288,55,25,56.9,22.6,787.4,652,220
80356,C4,0.04,100,65,55,800,19.228,65,20,73.9,21.6,794,553,220
80453,C4,0.04,100.2,65.2,55,800,35.848,75,15,57.8,22.8,806,1120,220.4
80545,C4,0.0399,100,65,55,800,26.836,85,10,60.8,22.3,452.8,1199,220
80638,C4,0.0379,100,60,55,200,0,85,10,68,21.8,145.39,1426,215
80727,C4,0.0377,100,60,55,200,4.784,75,15,65.7,22,149.2,1092,215
80810,C4,0.0376,100,60,55,200,5.564,65,20,62.8,20.5,128,324,215
80905,C4,0.0374,100,60,55,200,5.248,55,25,60.1,22.1,185.6,659,215
80999,C4,0.0377,100,60,55,200,7.788,45,30,63.4,21.8,173.6,987,215
81093,C4,0.0378,100,60,55,200,5.444,35,35,68.3,21.6,204.6,1201,215
81182,C4,0.0377,100,60,55,200,8.316,25,40,68.9,21.6,169.2,984,215
81273,C4,0.0375,100,60,55,200,4.952,35,35,59.1,22.7,164.8,876,215
81365,C4,0.0377,100,60,55,200,8.316,45,30,73.8,21.2,142.6,982,215
81454,C4,0.0376,100,60,55,200,10.376,55,25,56.8,22.3,176.8,655,215
81542,C4,0.0376,100,60,55,200,6.44,65,20,65.7,21.9,123.2,433,215
81640,C4,0.0373,100,60,55,200,10.264,75,15,62.2,22.2,143.8,1095,215
81735,C4,0.0376,100,60,55,200,4.988,85,10,54.7,22.9,169.4,1421,215
81825,C4,0.0364,95,60,55,400,12.112,85,10,72.7,21.9,421.8,1419,210
81915,C4,0.0361,95,60,55,400,8.428,75,15,67.1,22.3,431.4,1091,210
82000,C4,0.0354,95,60,55,400,14.368,65,20,68.5,22,404.4,437,210
82093,C4,0.0362,95,60,55,400,17.172,55,25,65,22.2,497.4,657,210
82187,C4,0.0361,95,60,55,400,15.2,45,30,65.6,22.2,405.4,877,210
82279,C4,0.0362,95,60,55,400,18.908,35,35,57.2,23.4,504.8,984,210
82371,C4,0.0356,95,60,55,400,9.032,25,40,64.8,22.2,530.4,982,210
82464,C4,0.0363,95,60,55,400,9.924,35,35,70.6,21.9,528,1104,210
82552,C4,0.0361,95,60,55,400,86.764,45,30,47.5,24.5,419.2,762,210
82641,C4,0.0361,95,60,55,400,18.676,55,25,68.4,22.1,502.8,652,210
82730,C4,0.036,95,60,55,400,130.468,65,20,60.6,21.7,176,328,210
82830,C4,0.0362,95,60,55,400,25.904,75,15,58.2,22.5,523.4,1203,210
82923,C4,0.0362,95,60,55,400,0,85,10,65.4,22.2,515,1421,210
83015,C4,0.0349,90,60,55,600,30.216,85,10,60.6,22.7,640,1422,205
83103,C4,0.0347,90.2,60.1,55,600,16.568,75,15,70.9,22.1,600.8,1092,205.3
83191,C4,0.0345,90,60,55,600,12.668,65,20,70.7,22,684.8,655,205
83281,C4,0.0346,90,60,55,600,27.3,55,25,58.9,22.8,675.2,660,205
83376,C4,0.0347,90,60,55,600,17.8,45,30,67.7,22.4,546.8,875,205
83468,C4,0.0348,90,60,55,600,34.972,35,35,54.4,23,652.2,1092,205
83558,C4,0.0343,90,60,55,600,106.108,25,40,46.1,24.7,574.2,769,205
83650,C4,0.0348,90,60,55,600,21.388,35,35,60.2,22.7,686,987,205
83741,C4,0.0347,90,60,55,600,23.64,45,30,68.1,22.3,560,871,205
83830,C4,0.0346,90,60,55,600,26.18,55,25,55.9,23,665.4,546,205
83922,C4,0.034,90,60,55,600,13.236,65,20,75.5,21.8,671,659,205
84018,C4,0.0347,90,60,55,600,33.708,75,15,60.8,22.5,663.6,1096,205
84111,C4,0.0347,90,60,55,600,50.204,85,10,60.8,22.9,632.2,1423,205
84205,C4,0.0335,85,60,55,800,29.52,85,10,78.1,21.9,934.4,1639,200
84291,C4,0.033,85,60,55,800,22.508,75,15,51.6,24.2,907.6,1092,200
84380,C4,0.0332,85,60,55,800,19.484,65,20,67.5,22.5,992.4,655,200
84470,C4,0.0333,85,60,55,800,34.112,55,25,59.7,22.9,981.8,657,200
84565,C4,0.0333,85,60,55,800,35.848,45,30,73.3,22,857.4,987,200
84658,C4,0.0332,85,60,55,800,24.092,35,35,65,22.6,915.8,1095,200
84749,C4,0.0332,85,60,55,800,25.808,25,40,70.2,22.2,985.4,1094,200
84840,C4,0.0333,85,60,55,800,17.56,35,35,57.5,23.1,974.2,985,200
84931,C4,0.0333,85,60,55,800,29.732,45,30,61.4,22.7,969.6,984,200
85019,C4,0.0332,85,60,55,800,33.484,55,25,56.6,23.2,977.8,655,200
85110,C4,0.0327,85,60,55,800,19.228,65,20,64.2,22.8,984.4,656,200
85206,C4,0.0332,85,60,55,800,48.144,75,15,70,22.5,984.6,1199,200
85300,C4,0.0332,85,60,55,800,37.932,85,10,55.6,23.4,935.8,1417,200
85392,C4,0.032,80,60,55,200,13.236,85,10,69.2,22.2,331.4,1423,195
85481,C4,0.0314,80,60,55,200,13.964,75,15,68.7,22.3,190.6,1095,195
85565,C4,0.0317,80,60,55,200,6.208,65,20,61.8,21,298,332,195
85659,C4,0.0318,80,60,55,200,10.156,55,25,59.6,22.5,347.2,765,195
85754,C4,0.0318,80,60,55,200,10.488,45,30,70.1,22.1,133.39,985,195
85845,C4,0.0318,80,60,55,200,6.628,35,35,63.2,22.3,353.6,1094,195
85934,C4,0.0315,80,60,55,200,33.484,25,40,58.6,23.1,175,780,195
86028,C4,0.0318,80,60,55,200,4.24,35,35,60.3,22.5,352.8,1092,195
86120,C4,0.0318,80,60,55,200,11.252,45,30,60.6,22.5,356,983,195
86208,C4,0.0318,80,60,55,200,10.204,55,25,72.3,21.8,324.6,652,195
86296,C4,0.0313,80,60,55,200,6.352,65,20,64,20.4,149,329,195
86395,C4,0.0318,80,60,55,200,16.808,75,15,66.8,22.3,331.6,1199,195
86489,C4,0.0318,80,60,55,200,10.204,85,10,62,22.2,350.2,1421,195
86580,C4,0.0306,75,60,55,400,24.988,85,10,58.2,23.1,405.4,1312,190
86669,C4,0.0304,75,60,55,400,31.936,75,15,70.9,22.4,512.2,1092,190
86757,C4,0.0303,75,60,55,400,11.856,65,20,68.9,22.2,576.4,660,190
86847,C4,0.0304,75,60,55,400,15.336,55,25,56,23.2,569,550,190
86942,C4,0.0304,75,60,55,400,12.42,45,30,74.5,21.9,531.59,984,190
87036,C4,0.0305,75,60,55,400,9.476,35,35,70.9,22.3,566,1202,190
87123,C4,0.0298,75,60,55,400,67.796,25,40,55.7,23.8,553.4,875,190
87217,C4,0.0305,75,60,55,400,11.924,35,35,66.8,22.5,586.4,1097,190
87307,C4,0.0305,75,60,55,400,11.804,45,30,74.8,22.1,497.6,981,190
87395,C4,0.0304,75,60,55,400,20.136,55,25,60.8,22.8,577.2,551,190
87486,C4,0.0304,75,60,55,400,19.568,65,20,60.2,23,561.4,550,190
87583,C4,0.0303,75,60,55,400,29.92,75,15,63.6,22.7,561.4,1093,190
87677,C4,0.0304,75,60,55,400,23.468,85,10,51.1,24.3,549.59,1311,190
87771,C4,0.0293,70,60,55,600,20.052,85,10,75,22.4,667,1643,185
87858,C4,0.0292,70,60,55,600,28.356,75,15,64.5,22.9,605,1092,185
87943,C4,0.0289,70,60,55,600,35.94,65,20,57.6,22.9,805.2,548,185
88035,C4,0.0291,70,60,55,600,15.548,55,25,63.2,22.8,841.6,546,185
88128,C4,0.0291,70,60,55,600,102.328,45,30,53.9,24.3,592,765,185
88221,C4,0.0291,70,60,55,600,19.316,35,35,59.9,23,658.2,876,185
88312,C4,0.0291,70,60,55,600,116.2,25,40,46.2,25,608.59,877,185
88404,C4,0.0287,70,60,55,600,28.644,35,35,59.9,23.2,847.4,870,185
88496,C4,0.0291,70,60,55,600,26.28,45,30,62.5,22.8,814.2,874,185
88585,C4,0.0291,70,60,55,600,17.252,55,25,74.6,22.1,838,661,185
88675,C4,0.0291,70,60,55,600,33.392,65,20,60.1,23.3,781.6,542,185
88771,C4,0.0291,70,60,55,600,26.36,75,15,70,22.7,616.8,1094,185
88866,C4,0.0291,70,60,55,600,65.12,85,10,59.7,23.4,729,1422,185
88958,C4,0.0279,65,60,55,800,74.5,85,10,59.4,23.8,1005.4,1423,180
89046,C4,0.0278,65,60,55,800,44.88,75,15,50.4,24.8,982.6,1090,180
89132,C4,0.0277,65,60,55,800,44.984,65,20,56.7,22.3,994.2,544,180
89223,C4,0.0277,65.1,60.2,55,800,28.832,55,25,63.6,22.9,982.4,438,180.3
89317,C4,0.0277,65,60,55,800,167.528,45,30,52.3,24.5,616.59,765,180
89409,C4,0.0278,65,60,55,800,45.244,35,35,59.3,23.3,935.2,765,180
89502,C4,0.0278,65,60,55,800,22.6,25,40,57.3,23.9,1017.4,979,180
89595,C4,0.0279,65,60,55,800,21.136,35,35,61.7,23.2,1027.19,1094,180
89684,C4,0.0273,65,60,55,800,24.092,45,30,62.2,23.1,728.8,768,180
89773,C4,0.0278,65,60,55,800,38.84,55,25,62.8,23.1,1030.6,654,180
89863,C4,0.0277,65,60,55,800,33.172,65,20,60.7,23.4,1018.2,436,180
89961,C4,0.0278,65,60,55,800,37.484,75,15,64.6,23.1,1011.6,1205,180
90054,C4,0.0278,65,60,55,800,82.924,85,10,56,23.9,997.2,1424,180
90148,C4,0.0261,60,60,55,200,5.168,85,10,73,22.4,415.4,1532,175
90234,C4,0.0265,60,60,55,200,9.252,75,15,50.5,24.3,399.2,1093,175
90321,C4,0.0265,60,60,55,200,4.336,65,20,73.1,22.1,422,547,175
90414,C4,0.0265,60,60,55,200,5.204,55,25,75.6,21.9,440,764,175
90508,C4,0.0265,60,60,55,200,7.532,45,30,74.4,22.2,323.2,983,175
90600,C4,0.026,60,60,55,200,10.664,35,35,57.6,23.2,436,988,175
90690,C4,0.0265,60,60,55,200,11.736,25,40,56.1,24,410.6,985,175
90781,C4,0.0265,60,60,55,200,8.812,35,35,64.9,22.6,376.2,872,175
90874,C4,0.0265,60,60,55,200,13.504,45,30,64.9,22.5,436,986,175
90962,C4,0.0265,60,60,55,200,6.124,55,25,63.1,22.6,441,655,175
91053,C4,0.026,60,60,55,200,5.364,65,20,62.7,22.9,439.6,660,175
91149,C4,0.0265,60,60,55,200,10.488,75,15,64.2,22.7,276.6,1092,175
91244,C4,0.0265,60,60,55,200,22.324,85,10,50.7,23.9,415.8,1429,175
91335,C4,0.0254,55,60,55,400,37.06,85,10,61,23.6,627.8,1529,170
91424,C4,0.0253,55,60,55,400,14.164,75,15,63.8,23,536.8,1090,170
91509,C4,0.0249,55,60,55,400,27.868,65,20,57.5,22.3,637.2,544,170
91602,C4,0.0253,55,60,55,400,0,55,25,62.2,23,641.2,660,170
91696,C4,0.0253,55,60,55,400,25.632,45,30,50.6,24.7,594.59,875,170
91788,C4,0.0253,55,60,55,400,14.092,35,35,60.7,23.1,640.2,984,170
91881,C4,0.0254,55,60,55,400,0,25,40,74.7,22.6,654.59,1098,170
91973,C4,0.0251,55,60,55,400,8.856,35,35,70.5,22.7,635.8,1203,170
92062,C4,0.0253,55,60,55,400,27.016,45,30,62.6,22.9,632,874,170
92151,C4,0.0253,55,60,55,400,0,55,25,75.8,22.1,638.2,659,170
92240,C4,0.0252,55,60,55,400,27.684,65,20,58,23.5,634.2,437,170
92337,C4,0.0253,55,60,55,400,18.112,75,15,63.4,22.9,536,1094,170
92434,C4,0.025,55,60,55,400,12.232,85,10,69.4,22.7,650.4,1638,170
92524,C4,0.0242,50,60,55,600,73.672,85,10,52.3,24.4,863.8,1535,165
92611,C4,0.0241,50,60,55,600,13.892,75,15,47.5,25.5,713.4,1097,165
92697,C4,0.0241,50,60,55,600,58.656,65,20,58.1,21.6,688.4,434,165
92792,C4,0.0241,50,60,55,600,105.712,55,25,52.6,24.6,773.4,898,165
92885,C4,0.0235,50,60,55,600,34.656,45,30,74.8,22.8,763.4,881,165
92978,C4,0.0242,50,60,55,600,18.112,35,35,74.8,22.7,962.8,1090,165
93067,C4,0.0241,50,60,55,600,107.424,25,40,47.5,25.2,745.6,762,165
93160,C4,0.0241,50,60,55,600,16.212,35,35,67.9,22.9,979.2,1093,165
93250,C4,0.0241,50,60,55,600,31.028,45,30,71.5,23,723.2,877,165
93338,C4,0.0239,50,60,55,600,23.208,55,25,64.7,23.1,977.6,544,165
93429,C4,0.024,50,60,55,600,37.268,65,20,58.2,23.1,928.4,438,165
93526,C4,0.0241,50,60,55,600,17.028,75,15,62.7,23.1,652.4,1095,165
93621,C4,0.0241,50,60,55,600,74.668,85,10,46.8,25.3,837.8,1419,165
93712,C4,0.0231,45,60,55,800,100.656,85,10,55.7,24.4,1037.4,1424,160
93802,C4,0.023,45.1,60.2,55,800,51.552,75,15,63.3,23.3,1059.4,1201,160.3
93886,C4,0.0229,45,60,55,800,86.404,65,20,61.1,21.2,606,438,160
93978,C4,0.0229,45,60,55,800,20.976,55,25,63.5,23.4,1074.4,436,160
94074,C4,0.023,45,60,55,800,30.708,45,30,75,22.7,1034.4,983,160
94167,C4,0.0231,45,60,55,800,25.708,35,35,75.6,22.6,1056.8,1204,160
94257,C4,0.023,45,60,55,800,29.416,25,40,67,23.1,1039.6,1098,160
94349,C4,0.0228,45,60,55,800,16.948,35,35,60.9,23.6,1065.8,1096,160
94438,C4,0.023,45,60,55,800,19.228,45,30,71.1,23.2,1001.4,888,160
94526,C4,0.0229,45,60,55,800,18.992,55,25,72.8,22.9,1046.4,551,160
94617,C4,0.0229,45,60,55,800,53.708,65,20,60.4,23.8,387.8,438,160
94717,C4,0.0229,45,60,55,800,25.356,75,15,73.8,22.6,1040.6,1320,160
94810,C4,0.0225,45,60,55,800,22.764,85,10,51.1,24.6,1037.8,1536,160
94900,C4,0.0219,40,60,55,200,22.672,85,10,45.8,26.1,378.6,1421,155
94989,C4,0.0218,40,60,55,200,7.48,75,15,47.2,25.2,415.6,1099,155
95079,C4,0.0218,40,60,55,200,0,65,20,76.6,22.2,519.8,875,155
95168,C4,0.0218,40,60,55,200,0,55,25,66.7,22.7,531.59,660,155
95262,C4,0.0218,40,60,55,200,10.728,45,30,75.9,22.2,459.2,876,155
95355,C4,0.0218,40,60,55,200,4.116,35,35,60.3,23.4,517.59,1094,155
95445,C4,0.0218,40,60,55,200,7.576,25,40,59.2,23.9,484.6,984,155
95539,C4,0.0218,40,60,55,200,0,35,35,76.5,22.3,524.59,1203,155
95628,C4,0.0218,40,60,55,200,13.112,45,30,65.8,22.8,523.59,873,155
95715,C4,0.0218,40,60,55,200,4.648,55,25,67.5,22.7,481.6,546,155
95809,C4,0.0214,40,60,55,200,10.488,65,20,65.8,23,520.4,766,155
95904,C4,0.0218,40,60,55,200,7.844,75,15,55.8,23.9,516.8,1090,155
96000,C4,0.0218,40,60,55,200,8.484,85,10,70.5,22.7,538.59,1639,155
96092,C4,0.0208,35,60,55,400,20.556,85,10,77.8,22.7,676,1748,150
96179,C4,0.0207,35,60,55,400,30.516,75,15,65.7,23.3,783.4,1307,150
96266,C4,0.0207,35,60,55,400,22.6,65,20,51.4,24.6,733.8,769,150
96354,C4,0.0204,35,60,55,400,23.284,55,25,54.5,24.6,738,326,150
96451,C4,0.0207,35,60,55,400,26.28,45,30,76,22.6,690,878,150
96541,C4,0.0207,35,60,55,400,32.136,35,35,64.7,23.5,666,792,150
96634,C4,0.0207,35,60,55,400,17.492,25,40,79.9,22.5,682,980,150
96726,C4,0.0208,35,60,55,400,10.092,35,35,69.2,23,844,1094,150
96816,C4,0.0207,35,60,55,400,26.556,45,30,76.2,22.7,665.4,984,150
96902,C4,0.0206,35,60,55,400,23.64,55,25,55.5,24.2,782.4,328,150
96998,C4,0.0207,35,60,55,400,25.164,65,20,58,23.7,789.6,871,150
97093,C4,0.0207,35,60,55,400,15.764,75,15,52.9,24.9,729.8,1206,150
97187,C4,0.0208,35,60,55,400,46.868,85,10,45.8,24.9,676,1531,150
97282,C4,0.0198,30,60,55,600,28.072,85,10,57.2,24.7,1011,1861,145
97373,C4,0.0197,29.9,60,55,600,0,75,15,75.2,23.1,1033.6,1859,144.9
97459,C4,0.0197,30,60,55,600,13.504,65,20,66.7,23.2,986.4,1205,145
97542,C4,0.0197,30,60,55,600,28.544,55,25,56,24.5,1011.8,326,145
97640,C4,0.0198,30,60,55,600,28.936,45,30,75.7,22.7,994.6,986,145
97732,C4,0.0198,30,60,55,600,15.2,35,35,66.3,23.4,1030,1096,145
97821,C4,0.0197,30,60,55,600,110.528,25,40,52.9,25,951,767,145
97915,C4,0.0196,29.9,60,55,600,15.624,35,35,61.6,23.6,1027,981,144.9
98005,C4,0.0197,30,60,55,600,30.92,45,30,71.2,23.2,928.4,880,145
98093,C4,0.0197,30,60,55,600,12.164,55,25,63.7,23.6,1018.6,548,145
98190,C4,0.0197,30,60,55,600,16.568,65,20,58.7,24.3,982.6,1203,145
98287,C4,0.0198,30,60,55,600,41.732,75,15,57.4,24.4,1006.4,1746,145
98383,C4,0.0198,30,60,55,600,23.116,85,10,63.3,23.7,1025,2184,145
98479,C4,0.0186,25,60,55,800,30.516,85,10,76.4,23,1104.8,2732,140
98562,C4,0.0189,25,60,55,800,60.412,75,15,56.7,24.4,1100,1987,140
98650,C4,0.0189,25,60,55,800,25.088,65,20,59,24.6,1074.8,1423,140
98735,C4,0.0189,25,60,55,800,36.38,55,25,66.4,23.6,1138.19,765,140
98828,C4,0.0189,25,60,55,800,32.136,45,30,74.6,23.3,1155.4,981,140
98921,C4,0.019,25,60,55,800,27.216,35,35,75.2,23.1,1147.4,1098,140
99011,C4,0.0189,25.1,60.1,55,800,45.868,25,40,65,23.6,1128.4,984,140.2
99104,C4,0.019,25,60,55,800,21.564,35,35,71.5,23.3,1101.8,1098,140
99193,C4,0.0189,25,60,55,800,28.256,45,30,65.5,23.5,1108.4,887,140
99283,C4,0.0189,25,60,55,800,22.672,55,25,63.3,23.9,1129.19,766,140
99383,C4,0.019,25,60,55,800,41.384,65,20,61.4,24.2,1117.6,1537,140
99477,C4,0.019,25,60,55,800,55.22,75,15,59.9,23.9,1036.4,1862,140
